streamer_id,product_id,date,price,discount_rate,views,conversion_rate,cost_per_unit,shelf_life_days,holiday_flag,quantity_sold,CCE
S19,P003,2024-08-01 00:00:00,15.45,0.25,8674,0.0057,5.54,16,0,49,0.2459
S13,P011,2024-08-01 01:00:00,15.22,0.33,25283,0.0193,9.59,139,0,487,0.9658
S25,P015,2024-08-01 02:00:00,8.02,0.06,119507,0.0393,7.19,103,0,4696,2.2848
S4,P009,2024-08-01 03:00:00,23.95,0.27,18919,0.0183,5.11,126,0,346,0.8886
S20,P014,2024-08-01 04:00:00,27.76,0.16,91519,0.0298,6.33,145,0,2727,1.6897
S13,P004,2024-08-01 05:00:00,16.53,0.18,91846,0.0093,8.52,167,0,854,0.5189
S1,P007,2024-08-01 06:00:00,19.07,0.15,74293,0.0448,4.88,96,0,3328,2.4998
S23,P011,2024-08-01 07:00:00,16.02,0.18,16623,0.033,4.92,40,0,548,1.5911
S25,P010,2024-08-01 08:00:00,10.21,0.1,69536,0.0388,6.36,92,0,2697,2.1505
S6,P012,2024-08-01 09:00:00,19.28,0.17,93536,0.0197,4.11,76,0,1842,1.1149
S11,P013,2024-08-01 10:00:00,22.0,0.06,39242,0.0039,9.75,95,0,153,0.1938
S15,P004,2024-08-01 11:00:00,29.68,0.11,59531,0.0162,8.43,146,0,964,0.878
S2,P008,2024-08-01 12:00:00,11.17,0.27,21704,0.0206,4.42,137,0,447,1.016
S9,P006,2024-08-01 13:00:00,10.93,0.15,55372,0.04,5.26,81,0,2214,2.1719
S6,P011,2024-08-01 14:00:00,21.26,0.21,78786,0.0435,8.35,167,0,3427,2.4397
S24,P013,2024-08-01 15:00:00,25.98,0.12,57715,0.0402,5.27,177,0,2320,2.1911
S6,P011,2024-08-01 16:00:00,21.68,0.06,117923,0.0234,4.14,142,1,2759,1.3538
S16,P011,2024-08-01 17:00:00,14.15,0.33,28602,0.0059,6.45,162,0,168,0.2902
S21,P006,2024-08-01 18:00:00,29.12,0.25,40099,0.0096,5.83,50,0,384,0.4963
S17,P005,2024-08-01 19:00:00,15.62,0.32,86625,0.0205,8.79,174,1,1775,1.1529
S1,P003,2024-08-01 20:00:00,13.73,0.27,100208,0.0418,4.67,178,0,4188,2.3941
S22,P008,2024-08-01 21:00:00,26.88,0.09,64978,0.0445,6.85,173,1,2891,2.4532
S4,P002,2024-08-01 22:00:00,6.78,0.23,15290,0.0264,10.44,147,1,403,1.2593
S5,P010,2024-08-01 23:00:00,18.74,0.17,57584,0.0067,10.08,80,0,385,0.3547
S18,P015,2024-08-02 00:00:00,19.21,0.14,56685,0.0105,8.45,54,0,595,0.5621
S17,P003,2024-08-02 01:00:00,9.49,0.09,5642,0.0036,4.58,16,0,20,0.143
S24,P009,2024-08-02 02:00:00,26.59,0.35,70936,0.0407,8.03,114,0,2887,2.2605
S12,P009,2024-08-02 03:00:00,17.65,0.12,17608,0.0302,3.67,55,0,531,1.4637
S14,P007,2024-08-02 04:00:00,11.84,0.2,119043,0.0095,6.06,75,0,1130,0.5426
S1,P006,2024-08-02 05:00:00,14.11,0.15,49574,0.0059,8.27,154,0,292,0.3064
S2,P007,2024-08-02 06:00:00,9.49,0.15,102607,0.0172,4.92,18,0,1764,0.9798
S10,P002,2024-08-02 07:00:00,23.24,0.33,13258,0.0406,6.46,139,0,538,1.9144
S14,P004,2024-08-02 08:00:00,13.88,0.2,101414,0.0138,9.76,149,0,1399,0.7829
S20,P014,2024-08-02 09:00:00,27.07,0.15,71649,0.0113,10.13,55,0,809,0.6191
S10,P005,2024-08-02 10:00:00,19.98,0.16,23859,0.0253,6.25,82,1,603,1.2626
S11,P011,2024-08-02 11:00:00,9.68,0.17,114639,0.0304,6.01,36,0,3485,1.7582
S5,P005,2024-08-02 12:00:00,24.91,0.2,30328,0.0379,8.42,165,0,1149,1.9431
S11,P012,2024-08-02 13:00:00,9.4,0.11,64509,0.0321,4.75,90,1,2070,1.765
S11,P004,2024-08-02 14:00:00,11.84,0.21,64929,0.0138,5.74,167,0,896,0.7521
S16,P008,2024-08-02 15:00:00,10.88,0.14,30992,0.0151,10.23,109,1,467,0.7683
S22,P009,2024-08-02 16:00:00,10.76,0.15,21518,0.0299,3.55,104,0,643,1.479
S6,P012,2024-08-02 17:00:00,13.22,0.26,49713,0.0373,4.73,32,0,1854,2.0043
S11,P005,2024-08-02 18:00:00,24.81,0.17,48232,0.0136,5.71,171,0,655,0.7208
S21,P014,2024-08-02 19:00:00,27.17,0.07,49245,0.0333,7.75,47,0,1639,1.7865
S10,P011,2024-08-02 20:00:00,16.52,0.27,90441,0.0174,5.59,146,0,1573,0.9804
S6,P007,2024-08-02 21:00:00,6.34,0.11,26599,0.0242,8.7,97,0,643,1.2203
S22,P012,2024-08-02 22:00:00,9.21,0.22,8051,0.0323,6.86,73,0,260,1.44
S21,P014,2024-08-02 23:00:00,13.88,0.25,115963,0.0235,4.51,122,0,2725,1.3577
S18,P015,2024-08-03 00:00:00,18.36,0.3,45792,0.0359,8.12,74,0,1643,1.9139
S24,P009,2024-08-03 01:00:00,20.83,0.18,62251,0.0358,6.76,90,0,2228,1.9635
S6,P003,2024-08-03 02:00:00,9.86,0.18,23540,0.0221,7.08,162,0,520,1.0998
S21,P015,2024-08-03 03:00:00,6.35,0.05,111656,0.0448,8.02,71,0,5002,2.5911
S25,P005,2024-08-03 04:00:00,17.71,0.33,74936,0.023,9.26,18,0,1723,1.2783
S8,P012,2024-08-03 05:00:00,28.4,0.19,17507,0.01,6.35,87,0,175,0.476
S7,P013,2024-08-03 06:00:00,21.5,0.07,54581,0.0429,4.49,135,0,2341,2.3271
S9,P011,2024-08-03 07:00:00,27.77,0.24,42797,0.0299,6.55,124,1,1279,1.5818
S14,P004,2024-08-03 08:00:00,9.82,0.24,25176,0.0144,4.57,128,0,362,0.7171
S25,P014,2024-08-03 09:00:00,9.0,0.06,85474,0.0332,9.31,123,0,2837,1.8726
S16,P007,2024-08-03 10:00:00,25.99,0.18,65260,0.0078,9.29,179,0,509,0.4199
S19,P012,2024-08-03 11:00:00,11.23,0.05,85173,0.0313,8.51,45,0,2665,1.7642
S9,P004,2024-08-03 12:00:00,20.87,0.16,46453,0.0443,4.4,128,0,2057,2.3678
S23,P008,2024-08-03 13:00:00,22.53,0.27,93666,0.0216,10.08,170,0,2023,1.2238
S16,P007,2024-08-03 14:00:00,13.3,0.27,90725,0.0241,10.31,29,0,2186,1.3631
S8,P011,2024-08-03 15:00:00,24.63,0.2,81251,0.0242,10.01,79,0,1966,1.3554
S22,P014,2024-08-03 16:00:00,6.75,0.28,97407,0.0415,5.71,177,0,4042,2.371
S19,P002,2024-08-03 17:00:00,26.24,0.15,34458,0.0155,8.3,149,1,534,0.7972
S10,P015,2024-08-03 18:00:00,25.11,0.16,116369,0.0294,5.37,67,0,3421,1.7022
S1,P011,2024-08-03 19:00:00,29.65,0.09,30739,0.0366,9.23,41,0,1125,1.8785
S3,P002,2024-08-03 20:00:00,11.77,0.28,13676,0.0446,3.58,88,0,609,2.1112
S5,P005,2024-08-03 21:00:00,19.61,0.1,42303,0.0369,4.68,48,0,1560,1.9529
S1,P002,2024-08-03 22:00:00,7.06,0.14,40009,0.0382,7.97,84,0,1528,2.0115
S3,P009,2024-08-03 23:00:00,12.58,0.21,54769,0.0094,8.96,102,0,514,0.5003
S17,P008,2024-08-04 00:00:00,25.67,0.08,108981,0.0254,5.13,134,0,2768,1.4606
S18,P005,2024-08-04 01:00:00,29.54,0.29,44082,0.004,4.99,163,0,176,0.2014
S16,P011,2024-08-04 02:00:00,6.88,0.08,21939,0.0049,4.86,55,0,107,0.2324
S23,P011,2024-08-04 03:00:00,11.97,0.27,62733,0.0247,4.99,155,0,1549,1.3518
S23,P015,2024-08-04 04:00:00,6.91,0.08,5967,0.0359,5.8,111,1,214,1.5481
S5,P007,2024-08-04 05:00:00,20.13,0.18,29147,0.0064,7.85,28,0,186,0.3165
S24,P003,2024-08-04 06:00:00,13.51,0.26,33702,0.0166,6.69,137,0,559,0.8528
S20,P008,2024-08-04 07:00:00,7.68,0.25,42473,0.0041,9.9,24,1,174,0.206
S7,P005,2024-08-04 08:00:00,27.88,0.35,104483,0.0202,3.84,137,0,2110,1.1547
S12,P003,2024-08-04 09:00:00,9.95,0.07,11082,0.0117,6.64,157,0,129,0.5323
S4,P006,2024-08-04 10:00:00,12.03,0.1,55352,0.0414,7.39,22,1,2291,2.2482
S5,P002,2024-08-04 11:00:00,27.14,0.3,37254,0.0411,6.49,119,1,1531,2.1505
S15,P011,2024-08-04 12:00:00,27.09,0.2,55198,0.0228,8.86,46,0,1258,1.2322
S1,P004,2024-08-04 13:00:00,14.61,0.29,37170,0.0134,10.31,109,0,498,0.6926
S5,P013,2024-08-04 14:00:00,25.13,0.09,57103,0.0108,5.96,70,0,616,0.5789
S13,P001,2024-08-04 15:00:00,23.07,0.12,58864,0.0411,5.28,96,0,2419,2.2445
S22,P001,2024-08-04 16:00:00,18.06,0.19,70588,0.0283,10.39,113,0,1997,1.5673
S10,P008,2024-08-04 17:00:00,22.61,0.28,118410,0.0249,9.35,170,0,2948,1.4419
S19,P012,2024-08-04 18:00:00,12.42,0.27,73676,0.0332,8.62,149,0,2446,1.8479
S1,P002,2024-08-04 19:00:00,29.87,0.29,105648,0.0113,9.86,88,0,1193,0.6411
S1,P008,2024-08-04 20:00:00,8.86,0.09,8642,0.0442,6.93,46,0,381,1.9907
S14,P003,2024-08-04 21:00:00,6.37,0.27,90907,0.0167,9.53,65,0,1518,0.9409
S2,P011,2024-08-04 22:00:00,19.09,0.32,15020,0.0296,5.8,132,0,444,1.4108
S23,P009,2024-08-04 23:00:00,13.08,0.34,33739,0.0161,4.26,164,0,543,0.8268
S24,P013,2024-08-05 00:00:00,17.19,0.25,65925,0.0288,8.72,54,1,1898,1.5854
S8,P007,2024-08-05 01:00:00,15.47,0.24,62427,0.0071,3.62,29,0,443,0.3795
S13,P002,2024-08-05 02:00:00,17.77,0.24,54456,0.0153,5.71,90,0,833,0.8217
S8,P014,2024-08-05 03:00:00,12.86,0.3,82348,0.0118,6.39,43,0,971,0.6553
S11,P013,2024-08-05 04:00:00,28.78,0.34,96677,0.0399,8.29,42,0,3857,2.2776
S15,P011,2024-08-05 05:00:00,14.63,0.17,85346,0.0041,7.58,127,0,349,0.2203
S4,P010,2024-08-05 06:00:00,28.61,0.21,105549,0.0159,4.84,133,1,1678,0.9071
S22,P006,2024-08-05 07:00:00,27.17,0.24,84634,0.0204,3.81,25,1,1726,1.1448
S19,P002,2024-08-05 08:00:00,19.24,0.35,6130,0.0132,9.3,69,0,80,0.5631
S17,P012,2024-08-05 09:00:00,9.85,0.27,106942,0.0168,7.89,61,0,1796,0.9602
S12,P001,2024-08-05 10:00:00,15.26,0.22,16367,0.0116,7.13,129,0,189,0.5503
S9,P003,2024-08-05 11:00:00,22.47,0.18,73607,0.0154,6.08,35,0,1133,0.8504
S4,P008,2024-08-05 12:00:00,8.97,0.13,94111,0.0112,10.42,146,0,1054,0.6288
S4,P011,2024-08-05 13:00:00,9.03,0.35,90892,0.0446,9.66,163,0,4053,2.5336
S14,P006,2024-08-05 14:00:00,29.31,0.09,69038,0.032,9.96,121,0,2209,1.7703
S25,P013,2024-08-05 15:00:00,7.07,0.1,98453,0.0045,3.63,179,0,443,0.2462
S8,P007,2024-08-05 16:00:00,12.19,0.1,83384,0.0365,9.3,138,0,3043,2.0554
S25,P004,2024-08-05 17:00:00,12.12,0.13,86932,0.0393,10.21,179,1,3416,2.2223
S7,P011,2024-08-05 18:00:00,11.41,0.07,70159,0.0349,6.93,166,0,2448,1.9347
